x,y,z
997,1403,792586
967,1713,491432
980,37,890598
964,466,976889
975,598,108017
974,986,110430
985,1055,384835
953,1486,868412
967,1638,461921
658,1934,41876
817,1953,499779
884,1798,551805
792,1872,549501
749,1908,473487
875,1454,445061
916,1474,559702
872,1552,517213
904,1703,955453
903,1777,189806
840,1782,352316
749,873,544108
633,1043,92263
893,1055,368890
723,1058,317101
834,1069,193875
896,1213,131082
657,1286,405837
858,1337,299536
739,1354,191405
659,1375,459909
834,1421,883081
667,1434,194471
656,29,491881
902,74,961084
908,113,169763
682,168,728642
788,236,405273
898,309,135705
783,432,476564
653,445,373058
925,461,616371
739,499,462297
867,524,124840
925,528,951074
683,597,916067
701,604,342514
826,612,82799
722,622,96614
720,677,569160
665,739,276714
753,759,289205
700,774,72287
841,790,435039
881,836,39794
859,839,11786
942,840,414382
830,853,837857
442,1961,185901
596,1982,641539
551,1601,746360
574,1611,353565
423,1645,254735
361,1742,402781
266,1744,707691
198,1755,908220
113,1764,229410
555,1765,872164
149,1787,185520
254,1788,525959
344,1795,918351
357,1797,711718
207,1798,309319
213,1807,389265
354,1829,58063
454,1830,604338
503,1834,676634
236,1835,853056
397,1837,253590
160,1867,808148
173,1901,480764
442,1904,411534
210,1905,130009
440,1938,618582
539,1948,591816
29,27,470205
297,50,618921
457,51,328975
577,61,331229
454,71,287725
16,97,802469
585,111,605062
165,137,743039
30,142,302891
377,145,169855
240,210,695769
198,218,792706
378,245,553995
575,250,341352
367,253,391987
51,256,325775
109,271,319435
67,291,764869
102,299,479751
448,300,854713
583,316,858370
231,460,189846
28,462,140050
110,471,872765
575,472,818108
358,478,740967
152,486,674963
127,518,417853
295,527,927826
536,568,436149
470,572,833208
148,580,517025
285,582,732592
428,617,56468
31,652,468712
111,679,244100
86,717,967717
595,718,967528
267,729,695223
136,731,399100
425,745,986648
164,753,251523
348,761,527934
500,763,573121
397,766,155879
245,767,289123
523,773,995750
100,782,338245
182,788,9773
584,802,457241
129,812,798509
223,814,706212
399,819,84024
618,823,860610
324,889,926351
129,933,944022
443,948,867736
93,969,352637
101,981,382607
95,995,240226
262,1012,542590
591,1018,30244
255,1019,722991
595,1030,562080
193,1047,749953
106,1053,80856
41,1056,149208
548,1092,722800
234,1108,272987
251,1128,788504
130,1153,163416
160,1192,857715
481,1206,976052
53,1226,342964
457,1231,278296
563,1233,539451
138,1238,172944
139,1238,600218
489,1240,83335
170,1256,811030
475,1268,600555
484,1324,542855
425,1328,506261
492,1335,632864
621,1339,636046
273,1364,71633
509,1368,704614
8,1413,791256
177,1423,210874
221,1463,99904
517,1468,971589
424,1486,910726
137,1502,346075
574,1506,170242
513,1510,922989
288,1528,709580
122,1556,738723
610,1575,506084
