x,y,z
4593,28215,671364
835,38036,973612
822,27182,461937
6909,79387,814900
5199,88967,77634
3226,79521,119267
8545,30530,151891
4597,50876,564403
8557,15902,772220
6972,53854,275601
173,87264,609270
6784,16969,309155
5888,95814,52241
6435,90293,320387
392,5322,78522
332,6383,288708
1311,92693,170991
2287,55042,347461
364,42076,359739
5018,72574,992247
5649,3192,727415
2047,54291,373315
8809,3375,51234
5153,56438,260771
3776,32095,970690
9536,70808,955808
3267,47590,716749
9804,652,500481
1612,21046,196443
2915,76842,420621
4271,64854,656146
7514,94389,390878
900,98576,736770
6026,18442,391170
1731,86158,564625
3392,64045,185182
8876,82782,216478
2536,81937,542069
2255,30536,956513
295,64033,594528
5964,31096,355899
1282,8445,200189
5364,67536,792610
4737,92111,96076
2578,72605,996261
6196,26707,637072
2127,60776,338410
6343,3349,362018
6059,54120,682178
3338,51676,911994
3483,89793,887111
6065,36469,162409
8169,24743,934257
2695,72134,199883
8716,47217,374780
6014,83967,906627
5356,24641,548827
6612,66413,1209
5589,89918,400053
265,36967,199553
3445,63007,589724
2588,6308,558808
5853,62335,692262
3305,53417,581517
4981,31358,694099
5702,82923,16665
8548,41533,100430
9218,51494,274688
4634,69069,427083
9464,98605,61574
129,96942,158597
7696,98653,523264
7510,76698,51662
7038,44232,858722
7673,61894,830982
3308,47452,404851
7102,80600,38828
2691,97476,151955
2368,97376,705657
4850,91038,193726
8171,72415,683209
5036,41533,451365
792,8759,229821
5232,65199,769064
1001,18634,569124
8909,44538,979689
8311,67313,999825
2346,10533,238020
2221,93805,358562
4437,43448,547771
7254,43707,182551
3167,67100,759657
9913,58067,93042
4726,50555,979203
9634,5763,567593
6557,28044,350054
763,84246,982819
4031,69755,279920
6132,94786,251798
326,7983,641238
8099,40342,56396
5221,31908,24690
5299,63360,688096
5066,57618,469977
7980,14911,40289
1594,20228,985254
9850,48420,418066
9702,72537,751875
9160,18808,160226
486,11784,802492
5428,91438,418236
6551,26045,790881
5513,18576,907670
1132,3106,457434
8975,29626,392328
9222,90281,379106
9550,59292,16360
9199,16229,808063
4400,89473,694805
4917,51175,765619
8377,30121,935846
7565,41042,928368
8525,9787,574896
7571,79432,498598
2997,76482,546020
4287,42287,51810
4388,82926,194049
5221,74841,971477
2487,7925,247201
8020,22351,10664
5374,15247,733848
4720,17343,455436
5031,49164,549246
3513,61863,170936
2110,79860,549304
607,32027,897967
5499,18187,746124
7390,32374,751704
2950,80444,624516
5817,29594,713955
6705,54868,958263
8589,26106,152808
345,35454,505097
5296,46856,634191
1452,76831,257459
7832,27639,998485
7372,66284,365505
611,4053,603626
1657,82336,802078
1690,67140,923463
2259,11621,243739
61,30958,136765
8038,51629,67913
4560,94745,437333
853,55423,328215
9536,33686,358396
8249,34799,208708
4075,43577,680530
8286,22993,881677
2097,72588,253918
3799,24458,443008
1961,76783,768923
4073,13238,218629
4885,52284,707731
7331,11841,468632
352,64196,258253
5460,94802,266539
295,7940,701550
9215,70853,195997
5708,38321,835120
8333,74102,724794
4177,93303,453206
6153,17097,913573
8675,76145,529789
6524,5494,876171
1393,81128,945036
3901,69599,394530
